Simulation,N_t_hat,N_t_circ
1,109.04639781775012,148.0
2,108.04639781775012,146.0
3,113.04639781775012,156.0
4,117.04639781775012,164.0
5,115.04639781775012,160.0
6,114.04639781775012,158.0
7,106.04639781775012,142.0
8,103.04639781775012,136.0
9,108.04639781775012,146.0
10,87.04639781775012,104.0
11,112.04639781775012,154.0
12,102.04639781775012,134.0
13,108.04639781775012,146.0
14,106.04639781775012,142.0
15,110.04639781775012,150.0
16,102.04639781775012,134.0
17,108.04639781775012,146.0
18,99.04639781775012,128.0
19,92.04639781775012,114.0
20,116.04639781775012,162.0
21,114.04639781775012,158.0
22,98.04639781775012,126.0
23,106.04639781775012,142.0
24,114.04639781775012,158.0
25,105.04639781775012,140.0
26,101.04639781775012,132.0
27,114.04639781775012,158.0
28,111.04639781775012,152.0
29,107.04639781775012,144.0
30,124.04639781775012,178.0
31,105.04639781775012,140.0
32,103.04639781775012,136.0
33,107.04639781775012,144.0
34,108.04639781775012,146.0
35,96.04639781775012,122.0
36,95.04639781775012,120.0
37,117.04639781775012,164.0
38,101.04639781775012,132.0
39,102.04639781775012,134.0
40,101.04639781775012,132.0
41,110.04639781775012,150.0
42,101.04639781775012,132.0
43,98.04639781775012,126.0
44,123.04639781775012,176.0
45,111.04639781775012,152.0
46,123.04639781775012,176.0
47,94.04639781775012,118.0
48,121.04639781775012,172.0
49,106.04639781775012,142.0
50,91.04639781775012,112.0
51,98.04639781775012,126.0
52,93.04639781775012,116.0
53,107.04639781775012,144.0
54,107.04639781775012,144.0
55,100.04639781775012,130.0
56,118.04639781775012,166.0
57,111.04639781775012,152.0
58,94.04639781775012,118.0
59,99.04639781775012,128.0
60,99.04639781775012,128.0
61,97.04639781775012,124.0
62,100.04639781775012,130.0
63,99.04639781775012,128.0
64,99.04639781775012,128.0
65,110.04639781775012,150.0
66,99.04639781775012,128.0
67,103.04639781775012,136.0
68,100.04639781775012,130.0
69,111.04639781775012,152.0
70,106.04639781775012,142.0
71,100.04639781775012,130.0
72,98.04639781775012,126.0
73,114.04639781775012,158.0
74,88.04639781775012,106.0
75,110.04639781775012,150.0
76,100.04639781775012,130.0
77,105.04639781775012,140.0
78,99.04639781775012,128.0
79,106.04639781775012,142.0
80,91.04639781775012,112.0
81,116.04639781775012,162.0
82,104.04639781775012,138.0
83,98.04639781775012,126.0
84,97.04639781775012,124.0
85,99.04639781775012,128.0
86,109.04639781775012,148.0
87,94.04639781775012,118.0
88,115.04639781775012,160.0
89,100.04639781775012,130.0
90,104.04639781775012,138.0
91,100.04639781775012,130.0
92,109.04639781775012,148.0
93,104.04639781775012,138.0
94,97.04639781775012,124.0
95,123.04639781775012,176.0
96,99.04639781775012,128.0
97,98.04639781775012,126.0
98,102.04639781775012,134.0
99,116.04639781775012,162.0
100,98.04639781775012,126.0
101,88.04639781775012,106.0
102,100.04639781775012,130.0
103,100.04639781775012,130.0
104,94.04639781775012,118.0
105,93.04639781775012,116.0
106,103.04639781775012,136.0
107,118.04639781775012,166.0
108,109.04639781775012,148.0
109,104.04639781775012,138.0
110,95.04639781775012,120.0
111,109.04639781775012,148.0
112,90.04639781775012,110.0
113,103.04639781775012,136.0
114,100.04639781775012,130.0
115,116.04639781775012,162.0
116,110.04639781775012,150.0
117,101.04639781775012,132.0
118,105.04639781775012,140.0
119,108.04639781775012,146.0
120,96.04639781775012,122.0
121,100.04639781775012,130.0
122,101.04639781775012,132.0
123,102.04639781775012,134.0
124,100.04639781775012,130.0
125,107.04639781775012,144.0
126,92.04639781775012,114.0
127,115.04639781775012,160.0
128,104.04639781775012,138.0
129,115.04639781775012,160.0
130,104.04639781775012,138.0
131,119.04639781775012,168.0
132,102.04639781775012,134.0
133,111.04639781775012,152.0
134,103.04639781775012,136.0
135,95.04639781775012,120.0
136,103.04639781775012,136.0
137,112.04639781775012,154.0
138,105.04639781775012,140.0
139,88.04639781775012,106.0
140,89.04639781775012,108.0
141,96.04639781775012,122.0
142,104.04639781775012,138.0
143,109.04639781775012,148.0
144,101.04639781775012,132.0
145,112.04639781775012,154.0
146,99.04639781775012,128.0
147,98.04639781775012,126.0
148,107.04639781775012,144.0
149,100.04639781775012,130.0
150,126.04639781775012,182.0
151,104.04639781775012,138.0
152,105.04639781775012,140.0
153,104.04639781775012,138.0
154,102.04639781775012,134.0
155,117.04639781775012,164.0
156,111.04639781775012,152.0
157,111.04639781775012,152.0
158,105.04639781775012,140.0
159,117.04639781775012,164.0
160,100.04639781775012,130.0
161,115.04639781775012,160.0
162,126.04639781775012,182.0
163,93.04639781775012,116.0
164,90.04639781775012,110.0
165,107.04639781775012,144.0
166,96.04639781775012,122.0
167,88.04639781775012,106.0
168,89.04639781775012,108.0
169,113.04639781775012,156.0
170,104.04639781775012,138.0
171,115.04639781775012,160.0
172,106.04639781775012,142.0
173,105.04639781775012,140.0
174,106.04639781775012,142.0
175,106.04639781775012,142.0
176,89.04639781775012,108.0
177,100.04639781775012,130.0
178,102.04639781775012,134.0
179,84.04639781775012,98.0
180,97.04639781775012,124.0
181,101.04639781775012,132.0
182,126.04639781775012,182.0
183,103.04639781775012,136.0
184,109.04639781775012,148.0
185,114.04639781775012,158.0
186,115.04639781775012,160.0
187,106.04639781775012,142.0
188,98.04639781775012,126.0
189,100.04639781775012,130.0
190,111.04639781775012,152.0
191,116.04639781775012,162.0
192,100.04639781775012,130.0
193,112.04639781775012,154.0
194,94.04639781775012,118.0
195,114.04639781775012,158.0
196,111.04639781775012,152.0
197,98.04639781775012,126.0
198,109.04639781775012,148.0
199,110.04639781775012,150.0
200,110.04639781775012,150.0
201,107.04639781775012,144.0
202,99.04639781775012,128.0
203,122.04639781775012,174.0
204,102.04639781775012,134.0
205,115.04639781775012,160.0
206,106.04639781775012,142.0
207,95.04639781775012,120.0
208,94.04639781775012,118.0
209,119.04639781775012,168.0
210,99.04639781775012,128.0
211,101.04639781775012,132.0
212,117.04639781775012,164.0
213,110.04639781775012,150.0
214,110.04639781775012,150.0
215,106.04639781775012,142.0
216,91.04639781775012,112.0
217,100.04639781775012,130.0
218,95.04639781775012,120.0
219,106.04639781775012,142.0
220,99.04639781775012,128.0
221,112.04639781775012,154.0
222,109.04639781775012,148.0
223,109.04639781775012,148.0
224,107.04639781775012,144.0
225,96.04639781775012,122.0
226,82.04639781775012,94.0
227,97.04639781775012,124.0
228,131.04639781775012,192.0
229,104.04639781775012,138.0
230,105.04639781775012,140.0
231,102.04639781775012,134.0
232,97.04639781775012,124.0
233,103.04639781775012,136.0
234,106.04639781775012,142.0
235,106.04639781775012,142.0
236,103.04639781775012,136.0
237,97.04639781775012,124.0
238,115.04639781775012,160.0
239,109.04639781775012,148.0
240,111.04639781775012,152.0
241,114.04639781775012,158.0
242,97.04639781775012,124.0
243,123.04639781775012,176.0
244,94.04639781775012,118.0
245,92.04639781775012,114.0
246,111.04639781775012,152.0
247,106.04639781775012,142.0
248,100.04639781775012,130.0
249,100.04639781775012,130.0
250,90.04639781775012,110.0
251,99.04639781775012,128.0
252,118.04639781775012,166.0
253,93.04639781775012,116.0
254,103.04639781775012,136.0
255,107.04639781775012,144.0
256,106.04639781775012,142.0
257,107.04639781775012,144.0
258,115.04639781775012,160.0
259,111.04639781775012,152.0
260,103.04639781775012,136.0
261,103.04639781775012,136.0
262,106.04639781775012,142.0
263,105.04639781775012,140.0
264,110.04639781775012,150.0
265,104.04639781775012,138.0
266,98.04639781775012,126.0
267,101.04639781775012,132.0
268,113.04639781775012,156.0
269,104.04639781775012,138.0
270,114.04639781775012,158.0
271,95.04639781775012,120.0
272,100.04639781775012,130.0
273,96.04639781775012,122.0
274,94.04639781775012,118.0
275,94.04639781775012,118.0
276,99.04639781775012,128.0
277,98.04639781775012,126.0
278,114.04639781775012,158.0
279,104.04639781775012,138.0
280,102.04639781775012,134.0
281,96.04639781775012,122.0
282,101.04639781775012,132.0
283,107.04639781775012,144.0
284,100.04639781775012,130.0
285,104.04639781775012,138.0
286,107.04639781775012,144.0
287,99.04639781775012,128.0
288,115.04639781775012,160.0
289,105.04639781775012,140.0
290,119.04639781775012,168.0
291,101.04639781775012,132.0
292,110.04639781775012,150.0
293,106.04639781775012,142.0
294,122.04639781775012,174.0
295,103.04639781775012,136.0
296,124.04639781775012,178.0
297,99.04639781775012,128.0
298,116.04639781775012,162.0
299,106.04639781775012,142.0
300,109.04639781775012,148.0
301,97.04639781775012,124.0
302,119.04639781775012,168.0
303,102.04639781775012,134.0
304,111.04639781775012,152.0
305,95.04639781775012,120.0
306,102.04639781775012,134.0
307,94.04639781775012,118.0
308,91.04639781775012,112.0
309,103.04639781775012,136.0
310,114.04639781775012,158.0
311,101.04639781775012,132.0
312,98.04639781775012,126.0
313,105.04639781775012,140.0
314,112.04639781775012,154.0
315,111.04639781775012,152.0
316,111.04639781775012,152.0
317,117.04639781775012,164.0
318,101.04639781775012,132.0
319,104.04639781775012,138.0
320,95.04639781775012,120.0
321,120.04639781775012,170.0
322,97.04639781775012,124.0
323,106.04639781775012,142.0
324,97.04639781775012,124.0
325,102.04639781775012,134.0
326,97.04639781775012,124.0
327,96.04639781775012,122.0
328,115.04639781775012,160.0
329,115.04639781775012,160.0
330,109.04639781775012,148.0
331,100.04639781775012,130.0
332,98.04639781775012,126.0
333,96.04639781775012,122.0
334,116.04639781775012,162.0
