Simulation,Tau,Mu,M_n
1,396,814,41
2,958,277,10
3,750,707,25
4,386,851,27
5,772,319,34
6,994,211,13
7,6,2,1
8,970,62,4
9,484,524,46
10,944,156,14
11,776,930,25
12,880,651,23
13,300,790,32
14,198,187,15
15,584,111,8
16,860,610,23
17,80,939,67
18,40,998,55
19,24,19,4
20,796,336,17
21,972,424,16
22,710,302,19
23,0,0,0
24,286,733,62
25,32,23,8
26,872,459,12
27,992,117,8
28,78,968,51
29,942,74,10
30,266,755,40
31,82,936,29
32,996,215,12
33,674,634,38
34,984,471,13
35,290,119,12
36,812,279,10
37,8,3,1
38,768,452,16
39,458,867,25
40,866,731,27
41,16,995,36
42,878,862,37
43,742,124,6
44,532,987,52
45,964,186,8
46,194,880,46
47,962,571,16
48,320,864,48
49,944,263,16
50,0,0,0
51,940,574,25
52,4,999,55
53,308,76,8
54,998,719,24
55,590,685,28
56,758,513,17
57,46,985,85
58,30,997,52
59,736,319,16
60,0,1000,57
61,994,239,14
62,1000,728,21
63,596,346,16
64,270,776,34
65,954,480,11
66,1000,267,14
67,326,69,10
68,56,22,5
69,996,629,22
70,966,0,0
71,968,588,24
72,842,950,29
73,822,499,21
74,370,283,13
75,344,912,31
76,630,896,21
77,422,336,16
78,422,47,5
79,898,230,21
80,450,75,7
81,626,687,21
82,248,809,40
83,212,808,40
84,620,603,63
85,642,417,20
86,70,978,72
87,256,168,13
88,598,730,33
89,782,539,15
90,80,951,53
91,8,2,1
92,34,5,2
93,518,182,12
94,14,997,31
95,616,845,27
96,12,989,32
97,180,874,55
98,44,977,74
99,428,628,33
100,430,247,13
101,376,200,12
102,64,40,6
103,222,786,36
104,664,140,10
105,552,638,52
106,874,540,25
107,984,890,23
108,820,753,30
109,966,648,15
110,452,121,6
111,606,278,9
112,752,22,5
113,470,814,35
114,170,919,39
115,824,77,6
116,944,884,21
117,38,6,2
118,130,977,42
119,20,980,43
120,346,31,6
121,54,40,5
122,900,509,13
123,1000,416,27
124,44,962,45
125,926,350,12
126,986,905,17
127,402,718,34
128,98,74,11
129,188,111,9
130,768,441,24
131,226,87,8
132,2,999,57
133,22,981,29
134,8,992,67
135,46,1,1
136,788,441,14
137,862,137,6
138,626,789,38
139,546,157,11
140,16,996,35
141,210,52,6
142,778,763,22
143,850,217,13
144,470,642,46
145,992,429,19
146,994,267,13
147,788,560,15
148,816,233,18
149,748,292,20
150,956,109,11
151,282,250,12
152,636,15,2
153,886,753,34
154,786,352,27
155,152,12,3
156,244,896,50
157,834,836,34
158,414,602,59
159,682,251,9
160,38,26,5
161,948,921,41
162,2,0,0
163,506,145,7
164,172,100,13
165,490,217,23
166,334,184,11
167,368,67,9
168,942,211,9
169,680,312,15
170,308,222,15
171,208,869,62
172,606,858,42
173,24,992,59
174,266,117,8
175,540,499,45
176,550,562,44
177,22,994,58
178,64,988,45
179,466,545,38
180,0,0,0
181,172,119,12
182,172,77,6
183,26,992,50
184,44,23,4
185,1000,120,7
186,162,883,60
187,940,782,29
188,742,473,21
189,386,697,41
190,454,914,56
191,822,351,15
192,970,278,12
193,530,824,22
194,46,15,4
195,862,6,2
196,302,171,9
197,462,560,36
198,504,551,50
199,362,118,10
200,24,0,0
201,984,429,13
202,988,386,17
203,922,60,6
204,82,76,9
205,444,556,39
206,48,46,10
207,12,993,53
208,844,407,20
209,888,273,12
210,0,1000,79
211,250,233,19
212,1000,937,24
213,944,69,10
214,968,270,18
215,12,3,1
216,998,542,34
217,0,1000,54
218,150,975,37
219,950,227,13
220,998,816,27
221,602,963,29
222,888,368,13
223,28,984,43
224,1000,817,33
225,26,12,4
226,306,904,57
227,994,27,4
228,866,300,11
229,206,875,48
230,98,918,55
231,298,28,3
232,836,303,19
233,850,221,8
234,10,3,1
235,906,149,9
236,150,903,43
237,666,831,33
238,28,994,52
239,508,156,15
240,362,739,36
241,750,394,20
242,132,997,59
243,976,77,8
244,400,258,12
245,188,46,5
246,438,965,48
247,956,138,12
248,472,289,17
249,718,639,54
250,108,964,83
251,80,10,2
252,772,374,13
253,8,995,81
254,630,295,21
255,492,622,34
256,606,587,29
257,406,29,4
258,924,151,17
259,960,789,37
260,12,7,3
261,650,571,13
262,644,314,22
263,108,96,10
264,100,967,55
265,170,972,45
266,0,1000,65
267,346,89,6
268,158,993,34
269,26,985,33
270,554,275,20
271,790,808,30
272,182,902,43
273,208,57,8
274,796,468,25
275,996,785,20
276,218,35,4
277,122,888,74
278,970,175,8
279,598,982,31
280,880,372,22
281,382,995,33
282,0,0,0
283,900,192,20
284,788,432,21
285,324,899,33
286,372,204,17
287,798,360,35
288,988,527,12
289,996,398,19
290,26,1,1
291,330,119,11
292,966,563,23
293,462,938,48
294,768,532,22
295,6,4,2
296,968,548,21
297,562,488,15
298,2,0,0
299,78,944,47
300,68,13,4
301,296,758,29
302,932,200,12
303,16,996,32
304,926,745,23
305,880,825,25
306,514,589,73
307,512,712,36
308,902,260,19
309,548,719,23
310,0,0,0
311,816,467,21
312,562,94,6
313,944,568,20
314,6,994,60
315,4,997,50
316,334,814,37
317,124,901,51
318,668,630,30
319,540,786,43
320,68,936,54
321,966,193,9
322,6,995,38
323,530,906,30
324,466,390,16
325,240,904,38
326,792,580,24
327,942,974,36
328,4,2,1
329,450,621,36
330,914,671,22
331,654,817,38
332,434,118,9
333,86,963,66
334,946,280,13
335,990,512,17
336,948,931,25
337,44,956,57
338,1000,532,24
339,998,442,22
340,652,896,56
341,710,467,36
342,878,217,19
343,68,983,60
344,560,452,25
345,772,858,32
346,18,985,42
347,626,571,22
348,392,968,66
349,22,17,3
350,994,651,13
351,658,466,30
352,392,724,30
353,334,854,36
354,236,110,10
355,452,558,32
356,848,140,7
357,978,638,36
358,4,996,45
359,748,138,8
360,688,964,31
361,1000,439,11
362,982,67,5
363,286,990,30
364,988,42,6
365,342,268,23
366,148,82,9
367,48,5,1
368,492,645,38
369,726,583,15
370,10,0,0
371,70,935,31
372,196,890,36
373,856,345,14
374,966,916,36
375,302,874,59
376,984,224,10
377,336,209,9
378,150,6,2
379,230,132,9
380,460,379,14
381,44,23,4
382,0,0,0
383,996,908,37
